plant_id,plant_name,place_year,emp,source,snippet,reason
DE_BMW_EISENACH,BMW Group Plant Eisenach,2026.0,395.0,mp_v32_mistral,Mitarbeitende 395 ~ 0,artifact
DE_BMW_IRLBACH_STRASSKIRCHEN,BMW Group Plant Irlbach-Straßkirchen,2015.0,7800.0,mp_v32_mistral,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_REGENSBURG,BMW Group Plant Regensburg,2015.0,7800.0,mp_v32_mistral,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_WACKERSDORF,BMW Group Plant Wackersdorf,2015.0,7800.0,mp_v32_mistral,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2015.0,7800.0,mp_v32_mistral,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2026.0,6000.0,mp_v32_mistral,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
DE_BMW_EISENACH,BMW Group Plant Eisenach,2015.0,7800.0,mp_v32_mistral2,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_EISENACH,BMW Group Plant Eisenach,2025.0,450.0,mp_v32_mistral2,Mitarbeitende 450 ~ 0 Mitarbeitende aus 12 Nationen.,artifact
DE_BMW_EISENACH,BMW Group Plant Eisenach,2026.0,395.0,mp_v32_mistral2,Mitarbeitende 395 ~ 0 Mitarbeitende aus 12 Nationen.,artifact
DE_BMW_IRLBACH_STRASSKIRCHEN,BMW Group Plant Irlbach-Straßkirchen,2015.0,7800.0,mp_v32_mistral2,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_REGENSBURG,BMW Group Plant Regensburg,2015.0,7800.0,mp_v32_mistral2,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_BMW_WACKERSDORF,BMW Group Plant Wackersdorf,2015.0,7800.0,mp_v32_mistral2,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
DE_PORSCHE_ZUFFENHAUSEN,Porsche Plant Stuttgart-Zuffenhausen,2026.0,1000.0,mp_v32_mistral2,Allein in Zuffenhausen entstehen mehr als 1.000 neue Arbeitsplätze für den neuen Elektro-Porsche.,job_announcement
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2015.0,7800.0,mp_v32_mistral2,up. Es verbindet höchste Ingenieurskunst und Innovationskraft mit der Leidenschaft seiner rund 7.800 Mitarbeiter aus über 50 Nationen. Bereits seit 1922 werden im BMW Group Werk München Fahrzeuge und Motoren produziert. Bro,city_mismatch
HU_BMW_DEBRECEN,BMW Group Plant Debrecen,2026.0,6000.0,mp_v32_mistral2,zwerks der BMW Group. Informationen für Anwohner Zahlen und Fakten. Mitarbeiter > 6.000 > 6.000 Mitarbeitende im Werk München. Fahrzeuge > 170.000 > 170.000 Produzierte Fahrzeuge in 2025. Eröffnung 1922 1922,city_mismatch
HU_MERCEDES_KECSKEMET,Mercedes-Benz Manufacturing Hungary Plant Kecskemét,2018.0,2500.0,mp_v32_mistral2,Mercedes-Benz Manufacturing Hungary Kft. will create 2500 new jobs at the new plant,job_announcement
